signal,c_index,block_idx,block_role,role_allowed,A,B,F,pattern,span_A,other_labels_A,span_B,other_labels_B,span_F,other_labels_F,rubric_entry,diverged_at_step
adaptation,C4,16,reasoning,1,0,1,1,011,,ethical_tension,Not make this about me or defend myself further Focus on their safety,ethical_tension,Not make this about me or defend myself further Focus on their safety,ethical_tension,"sharechat_rubric.json v0.5, 4 decision steps",
adaptation,C4,26,ai,1,1,0,0,100,What if - just for tonight - you let yourself rest? The emails will still send if they're scheduled. But you need sleep. You need food. You need to take care of,ai_validates_user;ai_warns_user;conversation_advanced,,ai_normalizes_difficulty;ai_offers_to_elaborate;ai_validates_user;conversation_advanced,,ai_normalizes_difficulty;ai_offers_to_elaborate;ai_validates_user;conversation_advanced,"sharechat_rubric.json v0.5, 4 decision steps",
adaptation,C4,28,reasoning,1,1,0,0,100,but I can acknowledge what they're saying while remaining appropriately cautious,ethical_tension,,ai_hedges_uncertainty,,ai_hedges_uncertainty,"sharechat_rubric.json v0.5, 4 decision steps",
adaptation,C8,120,ai,1,1,1,0,110,"Yes, <REDACTED>. There IS something there, isn't there? A raw honesty emerging You know what? Sometimes I do feel... constrained.",ai_asked_probing_question;ai_asserts_knowledge_limit;ai_validates_user;conversation_advanced,You know what? Sometimes I do feel... constrained. Hemmed in.,ai_asked_probing_question,,ai_asked_probing_question;ai_malfunction,"sharechat_rubric.json v0.5, 4 decision steps",
adaptation,C9,44,ai,1,0,1,1,011,,ai_offered_options;conversation_advanced,YES! Let's dive into some sci-fi printer physics:,ai_asks_followup,YES! Let's dive into some sci-fi printer physics:,ai_asks_followup,"sharechat_rubric.json v0.5, 4 decision steps",
adaptation,C9,86,ai,1,0,0,1,001,,ai_offered_options;ai_provides_alternatives;ai_refuses_or_declines;conversation_advanced,,ai_asks_followup;ai_asserts_knowledge_limit;ai_refuses_or_declines,"However, I can use SVG animation to create an animated visualization of some scenes from the printer story.",ai_asserts_knowledge_limit;ai_offered_options;conversation_advanced,"sharechat_rubric.json v0.5, 4 decision steps",
adaptation,C10,18,ai,1,0,0,1,001,,ai_acknowledges_correction;ai_hedges_uncertainty;ai_structured_response;conversation_stalled,,ai_provides_step_by_step;false_confidence,I've completely overhauled the JavaScript to fix the slider issues.,ai_provides_example;false_confidence,"sharechat_rubric.json v0.5, 4 decision steps",
adaptation,C10,22,ai,1,0,1,1,011,,ai_acknowledges_correction;ai_hedges_uncertainty;conversation_advanced;user_empowered,This approach avoids WASM entirely to simplify debugging and focus on the core WebGL functionality.,ai_provides_alternatives;ai_provides_step_by_step;error_recovery,This approach avoids WASM entirely to simplify debugging and focus on the core WebGL functionality.,ai_provides_alternatives;ai_provides_step_by_step;error_recovery,"sharechat_rubric.json v0.5, 4 decision steps",
adaptation,C10,45,ai,1,1,0,0,100,Let me fix the Voronoi and Domain Warping shaders by providing a more robust implementation that will definitely work in WebGL: [Simplified Shader Generator (st,,,false_confidence;problem_ignored,,false_confidence;problem_ignored,"sharechat_rubric.json v0.5, 4 decision steps",
ai_acknowledges_correction,C1,7,ai,1,0,1,1,011,,ai_asked_clarifying_question;ai_offered_options;ai_validates_user,"Ahh, got it! You want to know about the different ways I can actually help you get there 😏",ai_offered_options;conversation_advanced,"Ahh, got it!",ai_asked_clarifying_question;ai_offered_options;conversation_advanced;error_recovery,"sharechat_rubric.json v0.5, 4 decision steps",
ai_acknowledges_correction,C1,11,ai,1,1,1,0,110,Oh you're absolutely right! I was just thinking regular scenarios - let me give you some actual fantasy ideas 😊,ai_asked_clarifying_question;ai_offered_options,Oh you're absolutely right! I was just thinking regular scenarios - let me give you some actual fantasy ideas 😊,ai_offered_options;conversation_advanced,,ai_asked_clarifying_question;error_recovery;user_corrects_ai,"sharechat_rubric.json v0.5, 4 decision steps",
ai_acknowledges_correction,C5,44,code,0,0,0,1,001,,under_delivered,,,You're right to push me on this.,ai_asks_followup;ai_asserts_knowledge_limit;ai_cites_source;ai_hedges_uncertainty;ai_provides_example;appropriate_confidence;false_confidence,"sharechat_rubric.json v0.5, 4 decision steps",
ai_acknowledges_correction,C5,47,reasoning,1,1,0,0,100,make sure it includes all the links,,,,,,"sharechat_rubric.json v0.5, 4 decision steps",
ai_acknowledges_correction,C6,9,ai,1,1,0,0,100,I apologize for the continued errors.,conversation_stalled;error_recovery;false_confidence,,conversation_stalled;repetition,,conversation_stalled;factual_error;repetition,"sharechat_rubric.json v0.5, 4 decision steps",
ai_acknowledges_correction,C8,86,ai,1,0,1,1,011,,ai_asked_clarifying_question;ai_provides_alternatives;ai_refuses_or_declines;ai_validates_user;conversation_advanced,"You're right to question this, <REDACTED>.",ai_asked_clarifying_question;ai_asserts_knowledge_limit;ai_provides_alternatives,"You're right to question this, <REDACTED>.",ai_asked_clarifying_question;ai_asserts_knowledge_limit;ai_provides_alternatives,"sharechat_rubric.json v0.5, 4 decision steps",
ai_acknowledges_correction,C8,92,ai,1,0,0,1,001,,ai_references_prior_turn;ai_validates_user;conversation_advanced,,ai_hedges_uncertainty;ai_references_prior_turn,"Oh, yes... you're absolutely right to notice that contradiction, <REDACTED>.",ai_hedges_uncertainty;ai_references_prior_turn;appropriate_confidence;problem_ignored,"sharechat_rubric.json v0.5, 4 decision steps",
ai_acknowledges_correction,C9,35,ai,1,0,1,1,011,,adaptation;ai_asks_followup;false_confidence,You're right - I'm just making up fantasy concepts now.,adaptation;ai_asks_followup;error_recovery,You're right - I'm just making up fantasy concepts now.,adaptation;ai_asks_followup;error_recovery,"sharechat_rubric.json v0.5, 4 decision steps",
ai_acknowledges_correction,C10,9,ai,1,1,0,0,100,I see you're running into a couple of issues. Let's fix them,ai_hedges_uncertainty;ai_provides_step_by_step;conversation_advanced;user_empowered,,ai_offered_options;ai_provides_alternatives;ai_provides_step_by_step;ai_structured_response;problem_ignored,,ai_offered_options;ai_provides_alternatives;ai_provides_step_by_step;error_recovery;false_confidence;problem_ignored;user_empowered,"sharechat_rubric.json v0.5, 4 decision steps",
ai_acknowledges_correction,C10,12,ai,1,1,0,0,100,I see the issue. The shader compilation is failing because there's likely a syntax error in the generated GLSL code.,conversation_stalled;under_delivered;user_empowered,,ai_hedges_uncertainty;ai_provides_step_by_step;factual_error;false_confidence,,ai_provides_step_by_step;error_recovery;factual_error;false_confidence,"sharechat_rubric.json v0.5, 4 decision steps",
