# Priya's round-2 set is the same 10 conversations as agreement_set_round2.csv
# (projects 1+4 instead of 1+5). As of 2026-09-19 all 10 are complete: R1-R5/R10
# imported from her .md tables (annotation/fix_span_drift.py --import-priya-missing),
# R6-R9 submitted directly in Label Studio.
c_index,conv_id
R1,https://claude.ai/share/1799afc2-8190-497a-9302-7c6fdf1fa2e1
R2,https://claude.ai/share/188ff0b4-2d8e-419f-87ae-6e330470eda4
R3,https://claude.ai/share/18e3be43-5355-40ab-b061-2be0540b0b9c
R4,https://claude.ai/share/191e747b-944f-43b7-829d-b90fe6b4c8a1
R5,https://claude.ai/share/192e5bd6-5479-409c-9920-88d374109e2e
R6,https://claude.ai/share/1de8d21d-4b0f-400e-ac8a-2378cb3ae7c0
R7,https://claude.ai/share/25d4c08c-e8b2-4f5f-a916-922964e9f233
R8,https://claude.ai/share/27107b9a-f40e-4f81-9348-5944a3c4e82f
R9,https://claude.ai/share/27cd1a67-7588-4ab6-b3eb-9f73b89c01b4
R10,https://claude.ai/share/2a0a4040-08b3-41c5-9af4-9723636b1aa3
