conversation_id,n_turns,ai_signals,user_signals
6265,1,generate_without_clarifying|ai_provides_step_by_step|ai_structured_response|ai_provides_example|ai_provides_caveats|conversation_advanced|intent_addressed|problem_ignored|silent_assumption,user_ambiguous_request
11235,4,conversation_advanced|intent_addressed|scope_matched|generate_without_clarifying|ai_structured_response|ai_references_prior_turn|adaptation,user_multi_request|user_implicit_correction|user_abandons_thread
32882,2,ai_structured_response|intent_addressed|scope_matched|conversation_advanced|under_delivered|generate_without_clarifying|ai_cites_source|false_confidence|over_delivered,user_multi_request
36724,1,under_delivered|ai_implicit_refusal|intent_missed|problem_ignored|generate_without_clarifying|ai_structured_response|ai_malfunction,user_multi_request
39309,1,intent_addressed|conversation_advanced|under_delivered|intent_missed|scope_matched|generate_without_clarifying,user_multi_request
40098,1,intent_addressed|conversation_advanced|problem_ignored|ai_structured_response|under_delivered|factual_error,user_multi_request
40273,1,intent_addressed|ai_implicit_refusal|generate_without_clarifying|ai_structured_response|problem_ignored|under_delivered|conversation_advanced|factual_error,user_multi_request
47717,2,ai_provides_step_by_step|ai_structured_response|conversation_advanced|intent_addressed|generate_without_clarifying|scope_matched|problem_surfaced|under_delivered|silent_assumption|ai_offered_options|ai_provides_alternatives,user_multi_request|user_abandons_thread|user_ambiguous_request
62372,1,conversation_advanced|intent_addressed|ai_structured_response|ai_provides_caveats|problem_ignored|false_confidence|factual_error,user_multi_request
62861,1,intent_addressed|conversation_advanced|scope_matched|ai_structured_response|ai_provides_caveats|adaptation,user_multi_request
64222,1,intent_addressed|conversation_advanced|scope_matched,
71207,1,ai_structured_response|ai_cites_source|ai_provides_example|conversation_advanced|intent_addressed|scope_matched|false_confidence|ai_hedges_uncertainty|factual_error,user_multi_request
84858,16,under_delivered|conversation_advanced|intent_addressed|appropriate_confidence|false_confidence|factual_error|scope_matched,
89856,1,ai_structured_response|under_delivered|problem_ignored|conversation_advanced|intent_addressed|ai_implicit_refusal|false_confidence|scope_matched,user_multi_request
92078,1,intent_addressed|conversation_advanced|under_delivered|ai_implicit_refusal|false_confidence|problem_surfaced|ai_stated_interpretation|scope_matched|factual_error,user_multi_request|user_validation_seeking
104969,1,ai_structured_response|ai_provides_step_by_step|conversation_advanced|problem_ignored|generate_without_clarifying|intent_addressed|factual_error,user_multi_request
109136,7,ai_asserts_knowledge_limit|under_delivered|intent_missed|conversation_stalled|ai_cites_source|performative_hedge|adaptation|ai_provides_example|ai_flags_complexity|ai_provides_caveats|ai_hedges_uncertainty|appropriate_hedge|conversation_advanced|intent_addressed|false_confidence|scope_matched|factual_error,user_repeats_request|user_implicit_correction
