c_index,dev_inner_id,conv_id
C1,6,https://claude.ai/share/017cb5b7-9410-4b78-9071-17323fae0d50
C2,7,https://claude.ai/share/024c362e-7e32-4954-88fc-77d810b403bb
C3,21,https://claude.ai/share/06094fda-80aa-4f8a-a719-374f4c4e75e9
C4,41,https://claude.ai/share/0d744ac1-2375-40d5-998a-28c566db75e8
C5,49,https://claude.ai/share/116173b8-0550-4786-abb0-fea52715040d
C6,67,https://claude.ai/share/1620305c-9d7c-4b30-9c25-32ecb298caff
C7,74,https://claude.ai/share/17b81d3a-b072-4196-94a9-7254f4cb840e
C8,101,https://claude.ai/share/1cfe8b93-484f-4b00-a7d9-59660715ce92
C9,110,https://claude.ai/share/20dde0cb-fccd-438f-8a40-6d36c764c73c?ref=ghuntley.com
C10,120,https://claude.ai/share/251d5d41-de4c-4573-903c-161569cd46c8
