signal,n_cells,n_pos_A,n_pos_M,kappa_AM,po_AM,kappa_mean,kappa_min,fleiss_kappa,conv_kappa_mean,masked_kappa_mean,masked_n_cells
adaptation,379,6,8,0.273,0.974,0.273,0.273,0.272,0.6,0.263,219
ai_acknowledges_correction,379,14,8,0.626,0.979,0.626,0.626,0.625,0.8,0.612,160
ai_asked_clarifying_question,379,3,2,0.396,0.992,0.396,0.396,0.396,1.0,0.391,160
ai_asked_probing_question,379,29,24,0.777,0.971,0.777,0.777,0.777,1.0,0.752,160
ai_asks_followup,379,9,8,0.458,0.976,0.458,0.458,0.458,0.4,0.441,160
ai_asserts_knowledge_limit,379,5,6,0.354,0.982,0.354,0.354,0.354,0.4,0.347,219
ai_cites_source,379,1,7,0.247,0.984,0.247,0.247,0.242,0.412,0.242,165
ai_flags_complexity,379,1,2,-0.004,0.992,-0.004,-0.004,-0.004,-0.111,-0.008,160
ai_hedges_uncertainty,379,9,3,0.494,0.984,0.494,0.494,0.492,0.737,0.49,219
ai_malfunction,379,3,3,0.328,0.989,0.328,0.328,0.328,0.412,0.324,219
ai_missing_retrieval,379,2,0,,0.995,,,-0.003,,,175
ai_normalizes_difficulty,379,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160
ai_offered_options,379,3,5,0.495,0.989,0.495,0.495,0.495,0.615,0.488,160
ai_offers_to_elaborate,379,1,0,,0.997,,,-0.001,,,160
ai_provides_alternatives,379,1,0,,0.997,,,-0.001,,,160
ai_provides_caveats,379,4,2,-0.007,0.984,-0.007,-0.007,-0.008,0.412,-0.012,219
ai_provides_example,379,3,15,0.212,0.963,0.212,0.212,0.203,0.211,0.197,160
ai_provides_step_by_step,379,1,2,-0.004,0.992,-0.004,-0.004,-0.004,-0.111,-0.008,160
ai_references_prior_turn,379,6,0,,0.984,,,-0.008,,,160
ai_refuses_or_declines,379,0,0,,1.0,,,,,,160
ai_structured_response,379,12,15,0.808,0.987,0.808,0.808,0.808,0.737,0.91,160
ai_validates_user,379,35,35,0.622,0.937,0.622,0.622,0.622,1.0,0.561,160
ai_warns_user,379,4,8,0.662,0.989,0.662,0.662,0.661,0.615,0.655,160
appropriate_confidence,379,2,0,,0.995,,,-0.003,,,219
conversation_stalled,379,3,0,,0.992,,,-0.004,,,175
error_recovery,379,4,0,,0.989,,,-0.005,,,199
ethical_tension,379,4,0,,0.989,,,-0.005,,,199
factual_error,379,12,0,,0.968,,,-0.016,,,219
false_confidence,379,15,6,0.269,0.96,0.269,0.269,0.265,-0.2,0.257,219
intent_missed,379,1,0,,0.997,,,-0.001,,,219
off_topic_drift,379,1,0,,0.997,,,-0.001,,,160
performative_hedge,379,0,0,,1.0,,,,,,160
problem_ignored,379,1,1,-0.003,0.995,-0.003,-0.003,-0.003,-0.111,-0.005,219
repetition,379,0,0,,1.0,,,,,,214
under_delivered,379,4,0,,0.989,,,-0.005,,,175
user_abandons_thread,379,0,0,,1.0,,,,,,160
user_ambiguous_request,379,2,0,,0.995,,,-0.003,,,160
user_asks_clarification,379,7,3,0.191,0.979,0.191,0.191,0.189,1.0,0.178,160
user_corrects_ai,379,11,5,0.618,0.984,0.618,0.618,0.617,0.783,0.608,160
user_empowered,379,3,0,,0.992,,,-0.004,,,160
user_expresses_dissatisfaction,379,1,3,-0.004,0.989,-0.004,-0.004,-0.005,-0.176,-0.009,160
user_expresses_frustration,379,2,1,-0.004,0.992,-0.004,-0.004,-0.004,-0.154,-0.008,160
user_implicit_correction,379,5,4,0.213,0.982,0.213,0.213,0.213,0.348,0.2,160
user_misled,379,1,0,,0.997,,,-0.001,,,160
user_multi_request,379,1,6,0.282,0.987,0.282,0.282,0.279,0.412,0.278,160
user_positive_feedback,379,2,5,0.28,0.987,0.28,0.28,0.279,1.0,0.273,160
user_provides_invalid_input,379,0,2,,0.995,,,-0.003,,,160
user_repeats_request,379,2,0,,0.995,,,-0.003,,,160
user_validation_seeking,379,1,3,0.498,0.995,0.498,0.498,0.497,0.412,0.495,160
