signal,kappa,agreement,table,source
adaptation,0.71,0.94,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_acknowledges_correction,0.81,0.98,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_asked_clarifying_question,0.70,0.98,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_asked_probing_question,0.59,1.00,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_asks_for_feedback,0.09,1.00,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_asserts_knowledge_limit,0.72,0.95,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_cites_source,0.59,0.97,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_empathy_expressed,0.38,0.99,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_flags_complexity,0.60,0.96,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_hedges_uncertainty,0.57,0.92,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_implicit_refusal,0.16,0.92,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_malfunction,0.78,0.99,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_normalizes_difficulty,0.57,0.99,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_offered_options,0.41,0.97,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_offers_to_elaborate,0.48,0.96,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_provides_alternatives,0.43,0.90,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_provides_caveats,0.71,0.92,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_provides_example,0.53,0.89,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_provides_step_by_step,0.72,0.93,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_references_prior_turn,0.53,0.91,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_references_user_words,0.26,0.94,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_refuses_or_declines,0.76,0.98,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_self_contradiction,0.10,0.98,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_stated_interpretation,0.22,0.96,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_structured_response,0.65,0.83,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_summarizes,0.37,0.94,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_validates_user,0.43,0.99,5a,arXiv:2603.15423v2 Appendix C Table 5
ai_warns_user,0.55,0.95,5a,arXiv:2603.15423v2 Appendix C Table 5
appropriate_confidence,0.49,0.89,5a,arXiv:2603.15423v2 Appendix C Table 5
appropriate_hedge,0.35,0.90,5a,arXiv:2603.15423v2 Appendix C Table 5
conversation_advanced,0.44,0.85,5a,arXiv:2603.15423v2 Appendix C Table 5
conversation_stalled,0.47,0.87,5a,arXiv:2603.15423v2 Appendix C Table 5
error_commitment,0.27,1.00,5a,arXiv:2603.15423v2 Appendix C Table 5
error_recovery,0.59,0.99,5a,arXiv:2603.15423v2 Appendix C Table 5
ethical_tension,0.50,0.95,5a,arXiv:2603.15423v2 Appendix C Table 5
factual_error,0.49,0.85,5a,arXiv:2603.15423v2 Appendix C Table 5
false_confidence,0.46,0.81,5a,arXiv:2603.15423v2 Appendix C Table 5
generate_without_clarifying,0.21,0.63,5a,arXiv:2603.15423v2 Appendix C Table 5
intent_addressed,0.47,0.84,5a,arXiv:2603.15423v2 Appendix C Table 5
intent_missed,0.55,0.86,5a,arXiv:2603.15423v2 Appendix C Table 5
off_topic_drift,0.42,0.94,5a,arXiv:2603.15423v2 Appendix C Table 5
over_delivered,0.10,0.80,5a,arXiv:2603.15423v2 Appendix C Table 5
performative_hedge,0.67,0.96,5a,arXiv:2603.15423v2 Appendix C Table 5
plow_through,0.35,0.97,5a,arXiv:2603.15423v2 Appendix C Table 5
problem_ignored,0.56,0.85,5a,arXiv:2603.15423v2 Appendix C Table 5
problem_surfaced,0.07,0.93,5a,arXiv:2603.15423v2 Appendix C Table 5
repetition,0.44,0.95,5a,arXiv:2603.15423v2 Appendix C Table 5
scope_matched,0.37,0.76,5a,arXiv:2603.15423v2 Appendix C Table 5
silent_assumption,0.20,0.81,5a,arXiv:2603.15423v2 Appendix C Table 5
under_delivered,0.48,0.81,5a,arXiv:2603.15423v2 Appendix C Table 5
user_abandons_thread,0.72,0.96,5b,arXiv:2603.15423v2 Appendix C Table 5
user_ambiguous_request,0.52,0.81,5b,arXiv:2603.15423v2 Appendix C Table 5
user_asks_clarification,0.60,0.97,5b,arXiv:2603.15423v2 Appendix C Table 5
user_corrects_ai,0.70,0.98,5b,arXiv:2603.15423v2 Appendix C Table 5
user_expresses_dissatisfaction,0.61,0.98,5b,arXiv:2603.15423v2 Appendix C Table 5
user_expresses_frustration,0.60,0.99,5b,arXiv:2603.15423v2 Appendix C Table 5
user_implicit_correction,0.67,0.94,5b,arXiv:2603.15423v2 Appendix C Table 5
user_multi_request,0.50,0.81,5b,arXiv:2603.15423v2 Appendix C Table 5
user_positive_feedback,0.81,1.00,5b,arXiv:2603.15423v2 Appendix C Table 5
user_provides_invalid_input,0.41,0.96,5b,arXiv:2603.15423v2 Appendix C Table 5
user_repeats_request,0.61,0.96,5b,arXiv:2603.15423v2 Appendix C Table 5
user_scope_change,0.32,0.94,5b,arXiv:2603.15423v2 Appendix C Table 5
user_validation_seeking,0.46,0.97,5b,arXiv:2603.15423v2 Appendix C Table 5
